actividad;precedente;duracion_planificada;duracion_real;coste_planificado;coste_real;coste_tiempo_tope;tiempo_tope;realizado;recursos;varianza_duracion;duracion_pesimista
A;----;5;7;70;77;100;2;100;5;1;15
B;----;3;8;48;56;58;1;100;10;2;9
C;----;4;5;40;45;66;2;100;15;3;12
D;B;4;5;40;50;94;2;100;5;9;12
E;B;3;3;18;21;37;1;100;15;5;9
F;B;3;4;36;40;58;1;100;15;4;9
G;A, D;4;6;96;90;111;1;100;10;6;12
H;F;4;6;48;42;120;2;100;5;7;12
I;C, E;6;7;210;189;140;3;100;5;3;18
J;C, E, F, G;5;3;45;42;188;1;100;15;2;15
K;H, I;7;4;63;40;211;1;50;15;5;21
L;H, I;5;4;75;72;194;1;40;15;6;15
M;H, I;6;4;36;32;188;1;80;15;9;18
N;H, I;9;4;54;52;188;1;50;15;5;27
O;J, K;4;----;60;----;76;2;0;10;3;12
P;L;3;----;21;----;35;1;0;15;6;9
Q;M;3;----;33;----;49;1;0;15;5;9
R;N;3;----;39;----;49;1;0;10;6;9
S;O;3;----;36;----;48;1;0;10;2;9
T;S;3;----;18;----;32;1;0;10;6;9
U;P;3;----;12;----;18;1;0;10;4;9
V;Q;4;----;12;----;20;2;0;10;8;12
W;R;3;----;12;----;18;1;0;10;2;9
X;W;4;----;12;----;30;2;0;5;5;12
